group_id,action,reason,merged_rows,agency,line_item,value_label,fiscal_year,amount,pages,section_variants,program_variants,notes
73,merged,exact_duplicate,2,General Fund / Statewide,Unspecified,Legislative,,26.0,81,General Table,General Table,Identical rows collapsed
74,merged,exact_duplicate,2,General Fund / Statewide,Unspecified,60 million in,,27.0,81,General Table,General Table,Identical rows collapsed
75,merged,exact_duplicate,2,General Fund / Statewide,"Agency Office of Health Strategy Bamboo Health maintains the Connecticut Prescription Drug Monitoring Program (PDMP) for the state. During previous IT consolidationa part of this contract was transferred to DAS BITS. The PDMP collects prescription data for Schedule II through ScheduleV drugs intoa centralized database, the Connecticut Prescription Monitoring and Reporting System (CPMRS), which can then be used by healthcare providers and pharmacists in the active treatment of their patients. Transfer funding of $694,500 in FY 26 and FY 27 to DAS BITS from the Department of Consumer Protection (DCP) for the PDMP software contract. 82 Same as Governor Transfer Funding for Software from DCP to DAS IT Services 694,500 694,500 694,500 694,500 - - Total - General Fund 694,500 694,500 694,500 694,500 - -",FY 26 $,2026,-261584.0,83,General Table,General Table,Identical rows collapsed
76,merged,exact_duplicate,2,General Fund / Statewide,"Agency Office of Health Strategy Bamboo Health maintains the Connecticut Prescription Drug Monitoring Program (PDMP) for the state. During previous IT consolidationa part of this contract was transferred to DAS BITS. The PDMP collects prescription data for Schedule II through ScheduleV drugs intoa centralized database, the Connecticut Prescription Monitoring and Reporting System (CPMRS), which can then be used by healthcare providers and pharmacists in the active treatment of their patients. Transfer funding of $694,500 in FY 26 and FY 27 to DAS BITS from the Department of Consumer Protection (DCP) for the PDMP software contract. 82 Same as Governor Transfer Funding for Software from DCP to DAS IT Services 694,500 694,500 694,500 694,500 - - Total - General Fund 694,500 694,500 694,500 694,500 - -",FY 27 $,2027,-261584.0,83,General Table,General Table,Identical rows collapsed
77,merged,exact_duplicate,2,General Fund / Statewide,"Agency Department of Developmental Services Bamboo Health maintains the Connecticut Prescription Drug Monitoring Program (PDMP) for the state. During previous IT consolidationa part of this contract was transferred to DAS BITS. The PDMP collects prescription data for Schedule II through ScheduleV drugs intoa centralized database, the Connecticut Prescription Monitoring and Reporting System (CPMRS), which can then be used by healthcare providers and pharmacists in the active treatment of their patients. Transfer funding of $694,500 in FY 26 and FY 27 to DAS BITS from the Department of Consumer Protection (DCP) for the PDMP software contract. 82 Same as Governor Transfer Funding for Software from DCP to DAS IT Services 694,500 694,500 694,500 694,500 - - Total - General Fund 694,500 694,500 694,500 694,500 - -",FY 26 $,2026,-4115894.0,83,General Table,General Table,Identical rows collapsed
78,merged,exact_duplicate,2,General Fund / Statewide,"Agency Department of Developmental Services Bamboo Health maintains the Connecticut Prescription Drug Monitoring Program (PDMP) for the state. During previous IT consolidationa part of this contract was transferred to DAS BITS. The PDMP collects prescription data for Schedule II through ScheduleV drugs intoa centralized database, the Connecticut Prescription Monitoring and Reporting System (CPMRS), which can then be used by healthcare providers and pharmacists in the active treatment of their patients. Transfer funding of $694,500 in FY 26 and FY 27 to DAS BITS from the Department of Consumer Protection (DCP) for the PDMP software contract. 82 Same as Governor Transfer Funding for Software from DCP to DAS IT Services 694,500 694,500 694,500 694,500 - - Total - General Fund 694,500 694,500 694,500 694,500 - -",FY 27 $,2027,-4115894.0,83,General Table,General Table,Identical rows collapsed
79,merged,exact_duplicate,2,General Fund / Statewide,"Agency Total Bamboo Health maintains the Connecticut Prescription Drug Monitoring Program (PDMP) for the state. During previous IT consolidationa part of this contract was transferred to DAS BITS. The PDMP collects prescription data for Schedule II through ScheduleV drugs intoa centralized database, the Connecticut Prescription Monitoring and Reporting System (CPMRS), which can then be used by healthcare providers and pharmacists in the active treatment of their patients. Transfer funding of $694,500 in FY 26 and FY 27 to DAS BITS from the Department of Consumer Protection (DCP) for the PDMP software contract. 82 Same as Governor Transfer Funding for Software from DCP to DAS IT Services 694,500 694,500 694,500 694,500 - - Total - General Fund 694,500 694,500 694,500 694,500 - -",FY 26 $,2026,986116.0,83,General Table,General Table,Identical rows collapsed
80,merged,exact_duplicate,2,General Fund / Statewide,"Agency Total Bamboo Health maintains the Connecticut Prescription Drug Monitoring Program (PDMP) for the state. During previous IT consolidationa part of this contract was transferred to DAS BITS. The PDMP collects prescription data for Schedule II through ScheduleV drugs intoa centralized database, the Connecticut Prescription Monitoring and Reporting System (CPMRS), which can then be used by healthcare providers and pharmacists in the active treatment of their patients. Transfer funding of $694,500 in FY 26 and FY 27 to DAS BITS from the Department of Consumer Protection (DCP) for the PDMP software contract. 82 Same as Governor Transfer Funding for Software from DCP to DAS IT Services 694,500 694,500 694,500 694,500 - - Total - General Fund 694,500 694,500 694,500 694,500 - -",FY 27 $,2027,986116.0,83,General Table,General Table,Identical rows collapsed
81,merged,exact_duplicate,2,General Fund / Statewide,"Transfer funding of $318,338 in FY 26 and FY 27 into the IT Services account from Other Expenses and Rents and Moving accounts. Same as Governor Totals Governor Recommended Legislative Difference from Governor Budget Components FY 26 FY 27 FY 26 FY 27 FY 26 FY 27 FY 25 Appropriation - GF 203,097,617 203,097,617 203,097,617 203,097,617 - - Policy Revisions 72,767,969 72,767,969 13,236,441 13,271,441 (59,531,528) (59,496,528) Current Services 16,622,131 16,627,631 16,622,131 16,627,631 - - Total Recommended - GF 292,487,717 292,493,217 232,956,189 232,996,689 (59,531,528) (59,496,528) FY 25 Appropriation - TF 18,671,208 18,671,208 18,671,208 18,671,208 - - Current Services 3,354,388 3,354,388 3,354,388 3,354,388 - - Total Recommended - TF 22,025,596 22,025,596 22,025,596 22,025,596 - - FY 25 Appropriation - BF 975,283 975,283 975,283 975,283 - - Current Services 105,903 105,903 105,903 105,903 - - Total Recommended - BF 1,081,186 1,081,186 1,081,186 1,081,186 - - FY 25 Appropriation - IF 1,998,672 1,998,672 1,998,672 1,998,672 - - Current Services 78,244 78,244 78,244 78,244 - - Total Recommended - IF 2,076,916 2,076,916 2,076,916 2,076,916 - - FY 25 Appropriation - PF 198,707 198,707 198,707 198,707 - - Current Services (14,399) (14,399) (14,399) (14,399) - - Total Recommended - PF 184,308 184,308 184,308 184,308 - - FY 25 Appropriation - WF 1,499,233 1,499,233 1,499,233 1,499,233 - - Current Services (107,007) (107,007) (107,007) (107,007) - - Total Recommended - WF 1,392,226 1,392,226 1,392,226 1,392,226 - - Governor Recommended Legislative Difference from Governor Positions FY 26 FY 27 FY 26 FY 27 FY 26 FY 27 FY 25 Appropriation - GF 941 941 941 941 - - Policy Revisions 156 156 22 22 (134) (134) Total Recommended - GF 1,097 1,097 963 963 (134) (134) 86",FY,,27.0,87,General Table,General Table,Identical rows collapsed
82,merged,exact_duplicate,2,General Fund / Statewide,"The Governor’s Recommended Budget provides funding of $124.4 million in FY 26 and FY 27, across nine appropriated funds, to reflect current wage-related adjustments resulting from existing wage agreements. Provide funding of $1,505,216 in FY 26 and FY 27 to the General Fund and $10,947 in FY 26 and FY 27 to the Cannabis Regulatory Fund to reflect this agency’s increased wage costs. Same as Governor Totals Governor Recommended Legislative Difference from Governor Budget Components FY 26 FY 27 FY 26 FY 27 FY 26 FY 27 FY 25 Appropriation - GF 38,856,741 38,856,741 38,856,741 38,856,741 - - Policy Revisions 522,846 638,182 232,036 302,036 (290,810) (336,146) Current Services 5,216 5,216 2,130,216 2,130,216 2,125,000 2,125,000 Total Recommended - GF 39,384,803 39,500,139 41,218,993 41,288,993 1,834,190 1,788,854 FY 25 Appropriation - CRF 396,362 396,362 396,362 396,362 - - Policy Revisions (407,309) (407,309) - - 407,309 407,309 Current Services 10,947 10,947 10,947 10,947 - - Total Recommended - CRF - - 407,309 407,309 407,309 407,309 Governor Recommended Legislative Difference from Governor Positions FY 26 FY 27 FY 26 FY 27 FY 26 FY 27 FY 25 Appropriation - GF 319 319 319 319 - - Policy Revisions 7 7 3 3 (4) (4) Current Services - - 1 1 1 1 Total Recommended - GF 326 326 323 323 (3) (3) FY 25 Appropriation - CRF 4 4 4 4 - - Policy Revisions (4) (4) - - 4 4 Total Recommended - CRF - - 4 4 4 4 91",Governor Recommended,,26.0,92,General Table,General Table,Identical rows collapsed
83,merged,exact_duplicate,4,General Fund / Statewide,"The Governor’s Recommended Budget provides funding of $124.4 million in FY 26 and FY 27, across nine appropriated funds, to reflect current wage-related adjustments resulting from existing wage agreements. Provide funding of $1,505,216 in FY 26 and FY 27 to the General Fund and $10,947 in FY 26 and FY 27 to the Cannabis Regulatory Fund to reflect this agency’s increased wage costs. Same as Governor Totals Governor Recommended Legislative Difference from Governor Budget Components FY 26 FY 27 FY 26 FY 27 FY 26 FY 27 FY 25 Appropriation - GF 38,856,741 38,856,741 38,856,741 38,856,741 - - Policy Revisions 522,846 638,182 232,036 302,036 (290,810) (336,146) Current Services 5,216 5,216 2,130,216 2,130,216 2,125,000 2,125,000 Total Recommended - GF 39,384,803 39,500,139 41,218,993 41,288,993 1,834,190 1,788,854 FY 25 Appropriation - CRF 396,362 396,362 396,362 396,362 - - Policy Revisions (407,309) (407,309) - - 407,309 407,309 Current Services 10,947 10,947 10,947 10,947 - - Total Recommended - CRF - - 407,309 407,309 407,309 407,309 Governor Recommended Legislative Difference from Governor Positions FY 26 FY 27 FY 26 FY 27 FY 26 FY 27 FY 25 Appropriation - GF 319 319 319 319 - - Policy Revisions 7 7 3 3 (4) (4) Current Services - - 1 1 1 1 Total Recommended - GF 326 326 323 323 (3) (3) FY 25 Appropriation - CRF 4 4 4 4 - - Policy Revisions (4) (4) - - 4 4 Total Recommended - CRF - - 4 4 4 4 91",FY,,27.0,92,General Table,General Table,Identical rows collapsed
84,merged,exact_duplicate,2,General Fund / Statewide,"The Governor’s Recommended Budget provides funding of $124.4 million in FY 26 and FY 27, across nine appropriated funds, to reflect current wage-related adjustments resulting from existing wage agreements. Provide funding of $1,505,216 in FY 26 and FY 27 to the General Fund and $10,947 in FY 26 and FY 27 to the Cannabis Regulatory Fund to reflect this agency’s increased wage costs. Same as Governor Totals Governor Recommended Legislative Difference from Governor Budget Components FY 26 FY 27 FY 26 FY 27 FY 26 FY 27 FY 25 Appropriation - GF 38,856,741 38,856,741 38,856,741 38,856,741 - - Policy Revisions 522,846 638,182 232,036 302,036 (290,810) (336,146) Current Services 5,216 5,216 2,130,216 2,130,216 2,125,000 2,125,000 Total Recommended - GF 39,384,803 39,500,139 41,218,993 41,288,993 1,834,190 1,788,854 FY 25 Appropriation - CRF 396,362 396,362 396,362 396,362 - - Policy Revisions (407,309) (407,309) - - 407,309 407,309 Current Services 10,947 10,947 10,947 10,947 - - Total Recommended - CRF - - 407,309 407,309 407,309 407,309 Governor Recommended Legislative Difference from Governor Positions FY 26 FY 27 FY 26 FY 27 FY 26 FY 27 FY 25 Appropriation - GF 319 319 319 319 - - Policy Revisions 7 7 3 3 (4) (4) Current Services - - 1 1 1 1 Total Recommended - GF 326 326 323 323 (3) (3) FY 25 Appropriation - CRF 4 4 4 4 - - Policy Revisions (4) (4) - - 4 4 Total Recommended - CRF - - 4 4 4 4 91",Legislative,,26.0,92,General Table,General Table,Identical rows collapsed
85,merged,exact_duplicate,2,General Fund / Statewide,"The Governor’s Recommended Budget provides funding of $124.4 million in FY 26 and FY 27, across nine appropriated funds, to reflect current wage-related adjustments resulting from existing wage agreements. Provide funding of $1,505,216 in FY 26 and FY 27 to the General Fund and $10,947 in FY 26 and FY 27 to the Cannabis Regulatory Fund to reflect this agency’s increased wage costs. Same as Governor Totals Governor Recommended Legislative Difference from Governor Budget Components FY 26 FY 27 FY 26 FY 27 FY 26 FY 27 FY 25 Appropriation - GF 38,856,741 38,856,741 38,856,741 38,856,741 - - Policy Revisions 522,846 638,182 232,036 302,036 (290,810) (336,146) Current Services 5,216 5,216 2,130,216 2,130,216 2,125,000 2,125,000 Total Recommended - GF 39,384,803 39,500,139 41,218,993 41,288,993 1,834,190 1,788,854 FY 25 Appropriation - CRF 396,362 396,362 396,362 396,362 - - Policy Revisions (407,309) (407,309) - - 407,309 407,309 Current Services 10,947 10,947 10,947 10,947 - - Total Recommended - CRF - - 407,309 407,309 407,309 407,309 Governor Recommended Legislative Difference from Governor Positions FY 26 FY 27 FY 26 FY 27 FY 26 FY 27 FY 25 Appropriation - GF 319 319 319 319 - - Policy Revisions 7 7 3 3 (4) (4) Current Services - - 1 1 1 1 Total Recommended - GF 326 326 323 323 (3) (3) FY 25 Appropriation - CRF 4 4 4 4 - - Policy Revisions (4) (4) - - 4 4 Total Recommended - CRF - - 4 4 4 4 91",60 million in,,27.0,92,General Table,General Table,Identical rows collapsed
86,merged,exact_duplicate,2,General Fund / Statewide,"The Governor’s Recommended Budget provides funding of $124.4 million in FY 26 and FY 27, across nine appropriated funds, to reflect current wage-related adjustments resulting from existing wage agreements. Provide funding of $1,505,216 in FY 26 and FY 27 to the General Fund and $10,947 in FY 26 and FY 27 to the Cannabis Regulatory Fund to reflect this agency’s increased wage costs. Same as Governor Totals Governor Recommended Legislative Difference from Governor Budget Components FY 26 FY 27 FY 26 FY 27 FY 26 FY 27 FY 25 Appropriation - GF 38,856,741 38,856,741 38,856,741 38,856,741 - - Policy Revisions 522,846 638,182 232,036 302,036 (290,810) (336,146) Current Services 5,216 5,216 2,130,216 2,130,216 2,125,000 2,125,000 Total Recommended - GF 39,384,803 39,500,139 41,218,993 41,288,993 1,834,190 1,788,854 FY 25 Appropriation - CRF 396,362 396,362 396,362 396,362 - - Policy Revisions (407,309) (407,309) - - 407,309 407,309 Current Services 10,947 10,947 10,947 10,947 - - Total Recommended - CRF - - 407,309 407,309 407,309 407,309 Governor Recommended Legislative Difference from Governor Positions FY 26 FY 27 FY 26 FY 27 FY 26 FY 27 FY 25 Appropriation - GF 319 319 319 319 - - Policy Revisions 7 7 3 3 (4) (4) Current Services - - 1 1 1 1 Total Recommended - GF 326 326 323 323 (3) (3) FY 25 Appropriation - CRF 4 4 4 4 - - Policy Revisions (4) (4) - - 4 4 Total Recommended - CRF - - 4 4 4 4 91",Difference from Governor,,26.0,92,General Table,General Table,Identical rows collapsed
87,merged,exact_duplicate,2,General Fund / Statewide,"Positions Policy Revisions The Governor’s Recommended Budget provides funding of $124.4 million in FY 26 and FY 27, across nine appropriated funds, to reflect current wage-related adjustments resulting from existing wage agreements. Provide funding of $1,505,216 in FY 26 and FY 27 to the General Fund and $10,947 in FY 26 and FY 27 to the Cannabis Regulatory Fund to reflect this agency’s increased wage costs. Same as Governor Totals Governor Recommended Legislative Difference from Governor Budget Components FY 26 FY 27 FY 26 FY 27 FY 26 FY 27 FY 25 Appropriation - GF 38,856,741 38,856,741 38,856,741 38,856,741 - - Policy Revisions 522,846 638,182 232,036 302,036 (290,810) (336,146) Current Services 5,216 5,216 2,130,216 2,130,216 2,125,000 2,125,000 Total Recommended - GF 39,384,803 39,500,139 41,218,993 41,288,993 1,834,190 1,788,854 FY 25 Appropriation - CRF 396,362 396,362 396,362 396,362 - - Policy Revisions (407,309) (407,309) - - 407,309 407,309 Current Services 10,947 10,947 10,947 10,947 - - Total Recommended - CRF - - 407,309 407,309 407,309 407,309 Governor Recommended Legislative Difference from Governor Positions FY 26 FY 27 FY 26 FY 27 FY 26 FY 27 FY 25 Appropriation - GF 319 319 319 319 - - Policy Revisions 7 7 3 3 (4) (4) Current Services - - 1 1 1 1 Total Recommended - GF 326 326 323 323 (3) (3) FY 25 Appropriation - CRF 4 4 4 4 - - Policy Revisions (4) (4) - - 4 4 Total Recommended - CRF - - 4 4 4 4 91",FY,,-4.0,92,General Table,General Table,Identical rows collapsed
88,merged,exact_duplicate,2,General Fund / Statewide,"DESPP currently contracts with Idemia and pays annual maintenance fees to implement the Clean Slate System. These maintenance costs were previously paid from sources outside the General Fund. Future increases to these costs in the out years are expected to only includea 3% annual increase. Provide funding of $62,665 in FY 26 and $127,540 in FY 27 to adjust for scheduled annual increases in the Computerized Criminal History System maintenance contracts. Same as Governor Totals Governor Recommended Legislative Difference from Governor Budget Components FY 26 FY 27 FY 26 FY 27 FY 26 FY 27 FY 25 Appropriation - GF 232,578,473 232,578,473 232,578,473 232,578,473 - - Policy Revisions (3,866,242) (6,866,242) (1,263,000) (2,163,000) 2,603,242 4,703,242 Current Services 1,975,419 2,774,162 1,975,419 2,774,162 - - Total Recommended - GF 230,687,650 228,486,393 233,290,892 233,189,635 2,603,242 4,703,242 FY 25 Appropriation - CRF 1,233,758 1,233,758 1,233,758 1,233,758 - - Policy Revisions (633,758) (633,758) - - 633,758 633,758 Current Services (600,000) (600,000) (600,000) (600,000) - - Total Recommended - CRF - - 633,758 633,758 633,758 633,758 Governor Recommended Legislative Difference from Governor Positions FY 26 FY 27 FY 26 FY 27 FY 26 FY 27 FY 25 Appropriation - GF 1,461 1,461 1,461 1,461 - - Policy Revisions 2 2 5 5 3 3 Total Recommended - GF 1,463 1,463 1,466 1,466 3 3 FY 25 Appropriation - CRF 2 2 2 2 - - Policy Revisions (2) (2) - - 2 2 Total Recommended - CRF - - 2 2 2 2 97",FY,,27.0,98,General Table,General Table,Identical rows collapsed
89,merged,exact_duplicate,2,General Fund / Statewide,"Positions Policy Revisions DESPP currently contracts with Idemia and pays annual maintenance fees to implement the Clean Slate System. These maintenance costs were previously paid from sources outside the General Fund. Future increases to these costs in the out years are expected to only includea 3% annual increase. Provide funding of $62,665 in FY 26 and $127,540 in FY 27 to adjust for scheduled annual increases in the Computerized Criminal History System maintenance contracts. Same as Governor Totals Governor Recommended Legislative Difference from Governor Budget Components FY 26 FY 27 FY 26 FY 27 FY 26 FY 27 FY 25 Appropriation - GF 232,578,473 232,578,473 232,578,473 232,578,473 - - Policy Revisions (3,866,242) (6,866,242) (1,263,000) (2,163,000) 2,603,242 4,703,242 Current Services 1,975,419 2,774,162 1,975,419 2,774,162 - - Total Recommended - GF 230,687,650 228,486,393 233,290,892 233,189,635 2,603,242 4,703,242 FY 25 Appropriation - CRF 1,233,758 1,233,758 1,233,758 1,233,758 - - Policy Revisions (633,758) (633,758) - - 633,758 633,758 Current Services (600,000) (600,000) (600,000) (600,000) - - Total Recommended - CRF - - 633,758 633,758 633,758 633,758 Governor Recommended Legislative Difference from Governor Positions FY 26 FY 27 FY 26 FY 27 FY 26 FY 27 FY 25 Appropriation - GF 1,461 1,461 1,461 1,461 - - Policy Revisions 2 2 5 5 3 3 Total Recommended - GF 1,463 1,463 1,466 1,466 3 3 FY 25 Appropriation - CRF 2 2 2 2 - - Policy Revisions (2) (2) - - 2 2 Total Recommended - CRF - - 2 2 2 2 97",FY,,2.0,98,General Table,General Table,Identical rows collapsed
90,merged,exact_duplicate,2,General Fund / Statewide,Unspecified,FY,,27.0,101,General Table,General Table,Identical rows collapsed
91,merged,exact_duplicate,2,General Fund / Statewide,Unspecified,Governor Recommended,,26.0,105,General Table,General Table,Identical rows collapsed
92,merged,exact_duplicate,4,General Fund / Statewide,Unspecified,FY,,27.0,105,General Table,General Table,Identical rows collapsed
93,merged,exact_duplicate,2,General Fund / Statewide,Unspecified,Legislative,,26.0,105,General Table,General Table,Identical rows collapsed
94,merged,exact_duplicate,2,General Fund / Statewide,Unspecified,60 million in,,27.0,105,General Table,General Table,Identical rows collapsed
95,merged,exact_duplicate,2,General Fund / Statewide,Unspecified,Difference from Governor,,26.0,105,General Table,General Table,Identical rows collapsed
96,merged,exact_duplicate,2,General Fund / Statewide,Unspecified,FY,,27.0,108,General Table,General Table,Identical rows collapsed
97,merged,exact_duplicate,2,General Fund / Statewide,"The Governor’s Recommended Budget provides funding of $124.4 million in FY 26 and FY 27, across nine appropriated funds, to reflect current wage-related adjustments resulting from existing wage agreements. Provide funding of $738,769 in both FY 26 and FY 27 to the General Fund and $179,270 in both FY 26 and FY 27 to the Cannabis Regulatory Fund to reflect this agency’s increased wage costs. Same as Governor Totals Governor Recommended Legislative Difference from Governor Budget Components FY 26 FY 27 FY 26 FY 27 FY 26 FY 27 FY 25 Appropriation - GF 17,747,798 17,747,798 17,747,798 17,747,798 - - Policy Revisions 5,176,614 5,548,210 254,552 1,003,648 (4,922,062) (4,544,562) Current Services (1,186,231) (1,186,231) (1,186,231) (1,186,231) - - Total Recommended - GF 21,738,181 22,109,777 16,816,119 17,565,215 (4,922,062) (4,544,562) FY 25 Appropriation - CRF 6,004,816 6,004,816 6,004,816 6,004,816 - - Policy Revisions (5,684,086) (5,684,086) - - 5,684,086 5,684,086 Current Services (320,730) (320,730) (320,730) (320,730) - - Total Recommended - CRF - - 5,684,086 5,684,086 5,684,086 5,684,086 Governor Recommended Legislative Difference from Governor Positions FY 26 FY 27 FY 26 FY 27 FY 26 FY 27 FY 25 Appropriation - GF 220 220 220 220 - - Policy Revisions 65 68 10 20 (55) (48) Total Recommended - GF 285 288 230 240 (55) (48) FY 25 Appropriation - CRF 62 62 62 62 - - Policy Revisions (62) (62) - - 62 62 Total Recommended - CRF - - 62 62 62 62 112",FY,,27.0,113,General Table,General Table,Identical rows collapsed
98,merged,exact_duplicate,2,General Fund / Statewide,"The Governor’s Recommended Budget provides funding of $124.4 million in FY 26 and FY 27, across nine appropriated funds, to reflect current wage-related adjustments resulting from existing wage agreements. Provide funding of $338,171 in both FY 26 and FY 27 to reflect this agency’s increased wage costs. Same as Governor Totals Governor Recommended Legislative Difference from Governor Budget Components FY 26 FY 27 FY 26 FY 27 FY 26 FY 27 FY 25 Appropriation - GF 8,174,082 8,174,082 8,174,082 8,174,082 - - Policy Revisions - - 705,534 660,492 705,534 660,492 Current Services 338,171 338,171 338,171 338,171 - - Total Recommended - GF 8,512,253 8,512,253 9,217,787 9,172,745 705,534 660,492 Governor Recommended Legislative Difference from Governor Positions FY 26 FY 27 FY 26 FY 27 FY 26 FY 27 FY 25 Appropriation - GF 91 91 91 91 - - Policy Revisions - - 4 8 4 8 Total Recommended - GF 91 91 95 99 4 8 114",FY,,27.0,115,General Table,General Table,Identical rows collapsed
99,merged,exact_duplicate,2,General Fund / Statewide,Department of Economic and Community Development,Actual FY 23,2023,0.0,118,General Table,General Table,Identical rows collapsed
100,merged,exact_duplicate,2,General Fund / Statewide,Department of Economic and Community Development,Governor Recommended,,0.0,118,General Table,General Table,Identical rows collapsed
101,merged,exact_duplicate,2,General Fund / Statewide,Department of Economic and Community Development,60 million in,,0.0,118,General Table,General Table,Identical rows collapsed
102,merged,exact_duplicate,2,General Fund / Statewide,"Provide funding of $66,676 in both FY 26 and FY 27 to ensure sufficient funds for indirect overhead. Same as Governor Totals Governor Recommended Legislative Difference from Governor Budget Components FY 26 FY 27 FY 26 FY 27 FY 26 FY 27 FY 25 Appropriation - PF 4,611,081 4,611,081 4,611,081 4,611,081 - - Policy Revisions - - 47,972 47,972 47,972 47,972 Current Services (24,178) (24,178) (24,178) (24,178) - - Total Recommended - PF 4,586,903 4,586,903 4,634,875 4,634,875 47,972 47,972 Governor Recommended Legislative Difference from Governor Positions FY 26 FY 27 FY 26 FY 27 FY 26 FY 27 FY 25 Appropriation - PF 21 21 21 21 - - Policy Revisions - - 2 2 2 2 Total Recommended - PF 21 21 23 23 2 2 121",FY,,27.0,122,General Table,General Table,Identical rows collapsed
103,merged,exact_duplicate,2,General Fund / Statewide,Unspecified,Governor Recommended,,26.0,130,General Table,General Table,Identical rows collapsed
104,merged,exact_duplicate,4,General Fund / Statewide,Unspecified,FY,,27.0,130,General Table,General Table,Identical rows collapsed
105,merged,exact_duplicate,2,General Fund / Statewide,Unspecified,Legislative,,26.0,130,General Table,General Table,Identical rows collapsed
106,merged,exact_duplicate,2,General Fund / Statewide,Unspecified,60 million in,,27.0,130,General Table,General Table,Identical rows collapsed
107,merged,exact_duplicate,2,General Fund / Statewide,Unspecified,Difference from Governor,,26.0,130,General Table,General Table,Identical rows collapsed
108,merged,exact_duplicate,2,General Fund / Statewide,"State supplemental food voucher programs serve participants of Women, Infant, and Children (WIC) and seniors, over the age of 60, who meet income eligibility guidelines by providinga mobile application or preloaded benefit cards to purchase Connecticut grown fresh fruit, vegetables, cut herbs, honey, and chicken eggs at authorized locations throughout Connecticut. Reduce funding by $230,000 in both FY 26 and FY 27 related to Supplemental Food Voucher programs. Maintain funding for state supplemental food voucher programs. Totals Governor Recommended Legislative Difference from Governor Budget Components FY 26 FY 27 FY 26 FY 27 FY 26 FY 27 FY 25 Appropriation - GF 8,182,243 8,182,243 8,182,243 8,182,243 - - Policy Revisions (1,000,000) (1,000,000) 475,000 775,000 1,475,000 1,775,000 Current Services (334,141) (334,141) (104,141) (104,141) 230,000 230,000 Total Recommended - GF 6,848,102 6,848,102 8,553,102 8,853,102 1,705,000 2,005,000 Governor Recommended Legislative Difference from Governor Positions FY 26 FY 27 FY 26 FY 27 FY 26 FY 27 FY 25 Appropriation - GF 52 52 52 52 - - Policy Revisions - - - 2 - 2 Total Recommended - GF 52 52 52 54 - 2 132",FY,,27.0,133,General Table,General Table,Identical rows collapsed
109,merged,exact_duplicate,2,General Fund / Statewide,"Difference from Governor FY 26 State supplemental food voucher programs serve participants of Women, Infant, and Children (WIC) and seniors, over the age of 60, who meet income eligibility guidelines by providinga mobile application or preloaded benefit cards to purchase Connecticut grown fresh fruit, vegetables, cut herbs, honey, and chicken eggs at authorized locations throughout Connecticut. Reduce funding by $230,000 in both FY 26 and FY 27 related to Supplemental Food Voucher programs. Maintain funding for state supplemental food voucher programs. Totals Governor Recommended Legislative Difference from Governor Budget Components FY 26 FY 27 FY 26 FY 27 FY 26 FY 27 FY 25 Appropriation - GF 8,182,243 8,182,243 8,182,243 8,182,243 - - Policy Revisions (1,000,000) (1,000,000) 475,000 775,000 1,475,000 1,775,000 Current Services (334,141) (334,141) (104,141) (104,141) 230,000 230,000 Total Recommended - GF 6,848,102 6,848,102 8,553,102 8,853,102 1,705,000 2,005,000 Governor Recommended Legislative Difference from Governor Positions FY 26 FY 27 FY 26 FY 27 FY 26 FY 27 FY 25 Appropriation - GF 52 52 52 52 - - Policy Revisions - - - 2 - 2 Total Recommended - GF 52 52 52 54 - 2 132",FY,,27.0,133,General Table,General Table,Identical rows collapsed
110,merged,exact_duplicate,2,General Fund / Statewide,Unspecified,Actual FY 23,2023,0.0,134,General Table,General Table,Identical rows collapsed
111,merged,exact_duplicate,2,General Fund / Statewide,Unspecified,Actual FY 24,2024,0.0,134,General Table,General Table,Identical rows collapsed
112,merged,exact_duplicate,2,General Fund / Statewide,Unspecified,Appropriation FY 25,2025,0.0,134,General Table,General Table,Identical rows collapsed
113,merged,exact_duplicate,2,General Fund / Statewide,Unspecified,Governor Recommended,,26.0,134,General Table,General Table,Identical rows collapsed
114,merged,exact_duplicate,2,General Fund / Statewide,Unspecified,FY,,27.0,134,General Table,General Table,Identical rows collapsed
115,merged,exact_duplicate,2,General Fund / Statewide,Unspecified,Legislative,,26.0,134,General Table,General Table,Identical rows collapsed
116,merged,exact_duplicate,2,General Fund / Statewide,Unspecified,60 million in,,27.0,134,General Table,General Table,Identical rows collapsed
117,merged,exact_duplicate,2,General Fund / Statewide,Difference from Governor FY 26 FY 27,Governor Recommended,,26.0,139,General Table,General Table,Identical rows collapsed
118,merged,exact_duplicate,2,General Fund / Statewide,Difference from Governor FY 26 FY 27,FY,,27.0,139,General Table,General Table,Identical rows collapsed
119,merged,exact_duplicate,2,General Fund / Statewide,Difference from Governor FY 26 FY 27,Legislative,,26.0,139,General Table,General Table,Identical rows collapsed
120,merged,exact_duplicate,2,General Fund / Statewide,Difference from Governor FY 26 FY 27,60 million in,,27.0,139,General Table,General Table,Identical rows collapsed
121,merged,exact_duplicate,2,General Fund / Statewide,Positions Policy Revisions,Governor Recommended,,0.0,139,General Table,General Table,Identical rows collapsed
122,merged,exact_duplicate,2,General Fund / Statewide,Positions Policy Revisions,FY,,0.0,139,General Table,General Table,Identical rows collapsed
123,merged,exact_duplicate,2,General Fund / Statewide,Positions Policy Revisions,Legislative,,3.0,139,General Table,General Table,Identical rows collapsed
