group_id,action,reason,merged_rows,agency,line_item,value_label,fiscal_year,amount,pages,section_variants,program_variants,notes
37,merged,exact_duplicate,2,General Fund / Statewide,"Difference from Governor FY 26 The agency last purchased new computers in 2022 and due to the nature of their work, require new computers every four to five years. Provide funding of $171,195 in FY 27 to replace the laptops, desktops, and computer accessories for the agency. Funding is not provided to update information technology hardware. Totals Governor Recommended Legislative Difference from Governor Budget Components FY 26 FY 27 FY 26 FY 27 FY 26 FY 27 FY 25 Appropriation - GF 15,040,371 15,040,371 15,040,371 15,040,371 - - Policy Revisions - - - 413,000 - 413,000 Current Services 435,666 606,861 813,317 1,699,684 377,651 1,092,823 Total Recommended - GF 15,476,037 15,647,232 15,853,688 17,153,055 377,651 1,505,823 Governor Recommended Legislative Difference from Governor Positions FY 26 FY 27 FY 26 FY 27 FY 26 FY 27 FY 25 Appropriation - GF 126 126 126 126 - - Policy Revisions - - - 1 - 1 Total Recommended - GF 126 126 126 127 - 1 27",Governor Recommended,,26.0,28,General Table,General Table,Identical rows collapsed
38,merged,exact_duplicate,2,General Fund / Statewide,"Difference from Governor FY 26 The agency last purchased new computers in 2022 and due to the nature of their work, require new computers every four to five years. Provide funding of $171,195 in FY 27 to replace the laptops, desktops, and computer accessories for the agency. Funding is not provided to update information technology hardware. Totals Governor Recommended Legislative Difference from Governor Budget Components FY 26 FY 27 FY 26 FY 27 FY 26 FY 27 FY 25 Appropriation - GF 15,040,371 15,040,371 15,040,371 15,040,371 - - Policy Revisions - - - 413,000 - 413,000 Current Services 435,666 606,861 813,317 1,699,684 377,651 1,092,823 Total Recommended - GF 15,476,037 15,647,232 15,853,688 17,153,055 377,651 1,505,823 Governor Recommended Legislative Difference from Governor Positions FY 26 FY 27 FY 26 FY 27 FY 26 FY 27 FY 25 Appropriation - GF 126 126 126 126 - - Policy Revisions - - - 1 - 1 Total Recommended - GF 126 126 126 127 - 1 27",ditional $1,,27.0,28,General Table,General Table,Identical rows collapsed
39,merged,exact_duplicate,2,General Fund / Statewide,"Difference from Governor FY 26 The agency last purchased new computers in 2022 and due to the nature of their work, require new computers every four to five years. Provide funding of $171,195 in FY 27 to replace the laptops, desktops, and computer accessories for the agency. Funding is not provided to update information technology hardware. Totals Governor Recommended Legislative Difference from Governor Budget Components FY 26 FY 27 FY 26 FY 27 FY 26 FY 27 FY 25 Appropriation - GF 15,040,371 15,040,371 15,040,371 15,040,371 - - Policy Revisions - - - 413,000 - 413,000 Current Services 435,666 606,861 813,317 1,699,684 377,651 1,092,823 Total Recommended - GF 15,476,037 15,647,232 15,853,688 17,153,055 377,651 1,505,823 Governor Recommended Legislative Difference from Governor Positions FY 26 FY 27 FY 26 FY 27 FY 26 FY 27 FY 25 Appropriation - GF 126 126 126 126 - - Policy Revisions - - - 1 - 1 Total Recommended - GF 126 126 126 127 - 1 27",Legislative,,26.0,28,General Table,General Table,Identical rows collapsed
40,merged,exact_duplicate,2,General Fund / Statewide,"Difference from Governor FY 26 The agency last purchased new computers in 2022 and due to the nature of their work, require new computers every four to five years. Provide funding of $171,195 in FY 27 to replace the laptops, desktops, and computer accessories for the agency. Funding is not provided to update information technology hardware. Totals Governor Recommended Legislative Difference from Governor Budget Components FY 26 FY 27 FY 26 FY 27 FY 26 FY 27 FY 25 Appropriation - GF 15,040,371 15,040,371 15,040,371 15,040,371 - - Policy Revisions - - - 413,000 - 413,000 Current Services 435,666 606,861 813,317 1,699,684 377,651 1,092,823 Total Recommended - GF 15,476,037 15,647,232 15,853,688 17,153,055 377,651 1,505,823 Governor Recommended Legislative Difference from Governor Positions FY 26 FY 27 FY 26 FY 27 FY 26 FY 27 FY 25 Appropriation - GF 126 126 126 126 - - Policy Revisions - - - 1 - 1 Total Recommended - GF 126 126 126 127 - 1 27",60 million in,,27.0,28,General Table,General Table,Identical rows collapsed
41,merged,exact_duplicate,2,General Fund / Statewide,"Difference from Governor FY 26 The agency last purchased new computers in 2022 and due to the nature of their work, require new computers every four to five years. Provide funding of $171,195 in FY 27 to replace the laptops, desktops, and computer accessories for the agency. Funding is not provided to update information technology hardware. Totals Governor Recommended Legislative Difference from Governor Budget Components FY 26 FY 27 FY 26 FY 27 FY 26 FY 27 FY 25 Appropriation - GF 15,040,371 15,040,371 15,040,371 15,040,371 - - Policy Revisions - - - 413,000 - 413,000 Current Services 435,666 606,861 813,317 1,699,684 377,651 1,092,823 Total Recommended - GF 15,476,037 15,647,232 15,853,688 17,153,055 377,651 1,505,823 Governor Recommended Legislative Difference from Governor Positions FY 26 FY 27 FY 26 FY 27 FY 26 FY 27 FY 25 Appropriation - GF 126 126 126 126 - - Policy Revisions - - - 1 - 1 Total Recommended - GF 126 126 126 127 - 1 27",FY,,27.0,28,General Table,General Table,Identical rows collapsed
42,merged,exact_duplicate,2,General Fund / Statewide,"Reduce funding by $300,000 in FY 26 and FY 27 to reflect current agency requirements. Maintain funding at current level. Totals Governor Recommended Legislative Difference from Governor Budget Components FY 26 FY 27 FY 26 FY 27 FY 26 FY 27 FY 25 Appropriation - GF 13,204,587 13,204,587 13,204,587 13,204,587 - - Policy Revisions (750,000) (750,000) 3,632,653 2,397,653 4,382,653 3,147,653 Current Services (92,508) (92,508) 207,492 207,492 300,000 300,000 Total Recommended - GF 12,362,079 12,362,079 17,044,732 15,809,732 4,682,653 3,447,653 Governor Recommended Legislative Difference from Governor Positions FY 26 FY 27 FY 26 FY 27 FY 26 FY 27 FY 25 Appropriation - GF 88 88 88 88 - - Policy Revisions - - 8 13 8 13 Total Recommended - GF 88 88 96 101 8 13 36",Governor Recommended,,26.0,37,General Table,General Table,Identical rows collapsed
43,merged,exact_duplicate,2,General Fund / Statewide,"Reduce funding by $300,000 in FY 26 and FY 27 to reflect current agency requirements. Maintain funding at current level. Totals Governor Recommended Legislative Difference from Governor Budget Components FY 26 FY 27 FY 26 FY 27 FY 26 FY 27 FY 25 Appropriation - GF 13,204,587 13,204,587 13,204,587 13,204,587 - - Policy Revisions (750,000) (750,000) 3,632,653 2,397,653 4,382,653 3,147,653 Current Services (92,508) (92,508) 207,492 207,492 300,000 300,000 Total Recommended - GF 12,362,079 12,362,079 17,044,732 15,809,732 4,682,653 3,447,653 Governor Recommended Legislative Difference from Governor Positions FY 26 FY 27 FY 26 FY 27 FY 26 FY 27 FY 25 Appropriation - GF 88 88 88 88 - - Policy Revisions - - 8 13 8 13 Total Recommended - GF 88 88 96 101 8 13 36",ditional $1,,27.0,37,General Table,General Table,Identical rows collapsed
44,merged,exact_duplicate,2,General Fund / Statewide,"Reduce funding by $300,000 in FY 26 and FY 27 to reflect current agency requirements. Maintain funding at current level. Totals Governor Recommended Legislative Difference from Governor Budget Components FY 26 FY 27 FY 26 FY 27 FY 26 FY 27 FY 25 Appropriation - GF 13,204,587 13,204,587 13,204,587 13,204,587 - - Policy Revisions (750,000) (750,000) 3,632,653 2,397,653 4,382,653 3,147,653 Current Services (92,508) (92,508) 207,492 207,492 300,000 300,000 Total Recommended - GF 12,362,079 12,362,079 17,044,732 15,809,732 4,682,653 3,447,653 Governor Recommended Legislative Difference from Governor Positions FY 26 FY 27 FY 26 FY 27 FY 26 FY 27 FY 25 Appropriation - GF 88 88 88 88 - - Policy Revisions - - 8 13 8 13 Total Recommended - GF 88 88 96 101 8 13 36",Legislative,,26.0,37,General Table,General Table,Identical rows collapsed
45,merged,exact_duplicate,2,General Fund / Statewide,"Reduce funding by $300,000 in FY 26 and FY 27 to reflect current agency requirements. Maintain funding at current level. Totals Governor Recommended Legislative Difference from Governor Budget Components FY 26 FY 27 FY 26 FY 27 FY 26 FY 27 FY 25 Appropriation - GF 13,204,587 13,204,587 13,204,587 13,204,587 - - Policy Revisions (750,000) (750,000) 3,632,653 2,397,653 4,382,653 3,147,653 Current Services (92,508) (92,508) 207,492 207,492 300,000 300,000 Total Recommended - GF 12,362,079 12,362,079 17,044,732 15,809,732 4,682,653 3,447,653 Governor Recommended Legislative Difference from Governor Positions FY 26 FY 27 FY 26 FY 27 FY 26 FY 27 FY 25 Appropriation - GF 88 88 88 88 - - Policy Revisions - - 8 13 8 13 Total Recommended - GF 88 88 96 101 8 13 36",60 million in,,27.0,37,General Table,General Table,Identical rows collapsed
46,merged,exact_duplicate,2,General Fund / Statewide,"Reduce funding by $300,000 in FY 26 and FY 27 to reflect current agency requirements. Maintain funding at current level. Totals Governor Recommended Legislative Difference from Governor Budget Components FY 26 FY 27 FY 26 FY 27 FY 26 FY 27 FY 25 Appropriation - GF 13,204,587 13,204,587 13,204,587 13,204,587 - - Policy Revisions (750,000) (750,000) 3,632,653 2,397,653 4,382,653 3,147,653 Current Services (92,508) (92,508) 207,492 207,492 300,000 300,000 Total Recommended - GF 12,362,079 12,362,079 17,044,732 15,809,732 4,682,653 3,447,653 Governor Recommended Legislative Difference from Governor Positions FY 26 FY 27 FY 26 FY 27 FY 26 FY 27 FY 25 Appropriation - GF 88 88 88 88 - - Policy Revisions - - 8 13 8 13 Total Recommended - GF 88 88 96 101 8 13 36",Difference from Governor,,26.0,37,General Table,General Table,Identical rows collapsed
