agency,section,program,line_item,value_label,fiscal_year,amount,page
General Fund / Statewide,General Table,General Table,Appropriations,General Fund,,0.0,7
General Fund / Statewide,General Table,General Table,Appropriations,Other Appropriated,,0.0,7
General Fund / Statewide,General Table,General Table,Appropriations,All Appropriated,,0.0,7
General Fund / Statewide,General Table,General Table,Components,General Fund,,0.0,7
General Fund / Statewide,General Table,General Table,Components,Other Appropriated,,0.0,7
General Fund / Statewide,General Table,General Table,Components,All Appropriated,,0.0,7
General Fund / Statewide,General Table,General Table,Special Transportation Fund,General Fund,,0.0,7
General Fund / Statewide,General Table,General Table,Special Transportation Fund,Other Appropriated,,0.0,7
General Fund / Statewide,General Table,General Table,Special Transportation Fund,All Appropriated,,0.0,7
General Fund / Statewide,General Table,General Table,Special Transportation FY 26,General Fund,,26.0,7
General Fund / Statewide,General Table,General Table,Special Transportation FY 26,Other Appropriated,,26.0,7
General Fund / Statewide,General Table,General Table,Special Transportation FY 26,All Appropriated,,26.0,7
General Fund / Statewide,General Table,General Table,Base Estimates,General Fund,,0.0,7
General Fund / Statewide,General Table,General Table,Base Estimates,Other Appropriated,,0.0,7
General Fund / Statewide,General Table,General Table,Base Estimates,All Appropriated,,0.0,7
General Fund / Statewide,General Table,General Table,Revenue,General Fund,,0.0,7
General Fund / Statewide,General Table,General Table,Revenue,Other Appropriated,,0.0,7
General Fund / Statewide,General Table,General Table,Revenue,All Appropriated,,0.0,7
General Fund / Statewide,General Table,General Table,Beginning Balance,General Fund,,-272.0,7
General Fund / Statewide,General Table,General Table,Beginning Balance,Special Transportation,,-55.2,7
General Fund / Statewide,General Table,General Table,Beginning Balance,Other Appropriated,,-103.2,7
General Fund / Statewide,General Table,General Table,Beginning Balance,All Appropriated,,-430.4,7
General Fund / Statewide,General Table,General Table,Budget Changes,General Fund,,0.0,7
General Fund / Statewide,General Table,General Table,Budget Changes,Other Appropriated,,0.0,7
General Fund / Statewide,General Table,General Table,Budget Changes,All Appropriated,,0.0,7
General Fund / Statewide,General Table,General Table,+Revenue,General Fund,,0.0,7
General Fund / Statewide,General Table,General Table,+Revenue,Other Appropriated,,0.0,7
General Fund / Statewide,General Table,General Table,+Revenue,All Appropriated,,0.0,7
General Fund / Statewide,General Table,General Table,Net Change,General Fund,,580.8,7
General Fund / Statewide,General Table,General Table,Net Change,Special Transportation,,85.1,7
General Fund / Statewide,General Table,General Table,Net Change,Other Appropriated,,116.5,7
General Fund / Statewide,General Table,General Table,Net Change,All Appropriated,,782.3,7
General Fund / Statewide,General Table,General Table,Final Budget,General Fund,,0.0,7
General Fund / Statewide,General Table,General Table,Final Budget,Other Appropriated,,0.0,7
General Fund / Statewide,General Table,General Table,Final Budget,All Appropriated,,0.0,7
General Fund / Statewide,General Table,General Table,BUDGET BALANCE,General Fund,,308.9,7
General Fund / Statewide,General Table,General Table,BUDGET BALANCE,Special Transportation,,29.8,7
General Fund / Statewide,General Table,General Table,BUDGET BALANCE,Other Appropriated,,13.2,7
General Fund / Statewide,General Table,General Table,BUDGET BALANCE,All Appropriated,,352.0,7
General Fund / Statewide,General Table,General Table,Reserve Revenue Cap,General Fund,,0.0,7
General Fund / Statewide,General Table,General Table,Reserve Revenue Cap,Other Appropriated,,0.0,7
General Fund / Statewide,General Table,General Table,Reserve Revenue Cap,All Appropriated,,0.0,7
General Fund / Statewide,General Table,General Table,Balance after Revenue Cap,General Fund,,0.0,7
General Fund / Statewide,General Table,General Table,Balance after Revenue Cap,Other Appropriated,,0.0,7
General Fund / Statewide,General Table,General Table,Balance after Revenue Cap,All Appropriated,,0.0,7
General Fund / Statewide,General Table,General Table,Income Tax,FY 2026,2026,0.0,9
General Fund / Statewide,General Table,General Table,Income Tax,FY 2027,2027,0.0,9
General Fund / Statewide,General Table,General Table,Sales Tax,FY 2026,2026,0.0,9
General Fund / Statewide,General Table,General Table,Sales Tax,FY 2027,2027,0.0,9
General Fund / Statewide,General Table,General Table,Corporation Tax,FY 2026,2026,0.0,9
General Fund / Statewide,General Table,General Table,Corporation Tax,FY 2027,2027,0.0,9
General Fund / Statewide,General Table,General Table,All Other,FY 2026,2026,0.0,9
General Fund / Statewide,General Table,General Table,All Other,FY 2027,2027,0.0,9
General Fund / Statewide,General Table,General Table,Revenue Source TOTAL,FY 2026,2026,-156.2,9
General Fund / Statewide,General Table,General Table,Revenue Source TOTAL,FY 2027,2027,-164.2,9
General Fund / Statewide,General Table,General Table,Adjust Volatility Cap Threshold,FY 2026,2026,0.0,9
General Fund / Statewide,General Table,General Table,Adjust Volatility Cap Threshold,FY 2027,2027,0.0,9
General Fund / Statewide,General Table,General Table,Hospital Tax Rebase & Match on Hospital Supplemental Payments,FY 2026,2026,0.0,9
General Fund / Statewide,General Table,General Table,Hospital Tax Rebase & Match on Hospital Supplemental Payments,FY 2027,2027,0.0,9
General Fund / Statewide,General Table,General Table,Corporation Tax Changes,FY 2026,2026,0.0,9
General Fund / Statewide,General Table,General Table,Corporation Tax Changes,FY 2027,2027,0.0,9
General Fund / Statewide,General Table,General Table,Major Policies TOTAL,FY 2026,2026,562.5,9
General Fund / Statewide,General Table,General Table,Major Policies TOTAL,FY 2027,2027,1473.8,9
General Fund / Statewide,General Table,General Table,FY 25 Appropriations,All Appropriated Funds,,0.0,10
General Fund / Statewide,General Table,General Table,FY 25 Appropriations,FY 2026,2026,0.0,10
General Fund / Statewide,General Table,General Table,FY 25 Appropriations,FY 2027,2027,0.0,10
General Fund / Statewide,General Table,General Table,Current Services Adjustment,All Appropriated Funds,,0.0,10
General Fund / Statewide,General Table,General Table,Current Services Adjustment,FY 2026,2026,0.0,10
General Fund / Statewide,General Table,General Table,Current Services Adjustment,FY 2027,2027,0.0,10
General Fund / Statewide,General Table,General Table,Base Expenditures,All Appropriated Funds,,0.0,10
General Fund / Statewide,General Table,General Table,Base Expenditures,FY 2026,2026,0.0,10
General Fund / Statewide,General Table,General Table,Base Expenditures,FY 2027,2027,0.0,10
General Fund / Statewide,General Table,General Table,Policy Revisions,All Appropriated Funds,,0.0,10
General Fund / Statewide,General Table,General Table,Policy Revisions,FY 2026,2026,0.0,10
General Fund / Statewide,General Table,General Table,Policy Revisions,FY 2027,2027,0.0,10
General Fund / Statewide,General Table,General Table,Unspecified,All Appropriated Funds,,0.0,10
General Fund / Statewide,General Table,General Table,Unspecified,FY 2026,2026,27180.5,10
General Fund / Statewide,General Table,General Table,Unspecified,FY 2027,2027,28635.1,10
General Fund / Statewide,General Table,General Table,Fixed Costs,FY 2026,2026,0.0,10
General Fund / Statewide,General Table,General Table,Fixed Costs,FY 2027,2027,0.0,10
General Fund / Statewide,General Table,General Table,Non-Fixed Costs,FY 2026,2026,0.0,10
General Fund / Statewide,General Table,General Table,Non-Fixed Costs,FY 2027,2027,0.0,10
General Fund / Statewide,General Table,General Table,Subtotal Current Services Changes,FY 2026,2026,0.0,10
General Fund / Statewide,General Table,General Table,Subtotal Current Services Changes,FY 2027,2027,0.0,10
General Fund / Statewide,General Table,General Table,Policy Revisions (PR),FY 2026,2026,0.0,10
General Fund / Statewide,General Table,General Table,Policy Revisions (PR),FY 2027,2027,0.0,10
General Fund / Statewide,General Table,General Table,Subtotal Policy Revisions,FY 2026,2026,0.0,10
General Fund / Statewide,General Table,General Table,Subtotal Policy Revisions,FY 2027,2027,0.0,10
General Fund / Statewide,General Table,General Table,TOTAL,FY 2026,2026,1186.0,10
General Fund / Statewide,General Table,General Table,TOTAL,FY 2027,2027,2640.6,10
General Fund / Statewide,General Table,General Table,Non-Fixed Costs,FY 2026 Current Services,2026,0.0,12
General Fund / Statewide,General Table,General Table,Non-Fixed Costs,Policy Revisions,,0.0,12
General Fund / Statewide,General Table,General Table,Non-Fixed Costs,Total,,0.0,12
General Fund / Statewide,General Table,General Table,Non-Fixed Costs,FY 2027 Current Services,2027,0.0,12
General Fund / Statewide,General Table,General Table,Non-Fixed Costs,Policy Revisions_1,,0.0,12
General Fund / Statewide,General Table,General Table,Non-Fixed Costs,Total_1,,0.0,12
General Fund / Statewide,General Table,General Table,Conservation and Development,FY 2026 Current Services,2026,0.0,12
General Fund / Statewide,General Table,General Table,Conservation and Development,Policy Revisions,,0.0,12
General Fund / Statewide,General Table,General Table,Conservation and Development,Total,,0.0,12
General Fund / Statewide,General Table,General Table,Conservation and Development,FY 2027 Current Services,2027,0.0,12
General Fund / Statewide,General Table,General Table,Conservation and Development,Policy Revisions_1,,0.0,12
General Fund / Statewide,General Table,General Table,Conservation and Development,Total_1,,0.0,12
General Fund / Statewide,General Table,General Table,Element. & Secondary Education,FY 2026 Current Services,2026,0.0,12
General Fund / Statewide,General Table,General Table,Element. & Secondary Education,Policy Revisions,,0.0,12
General Fund / Statewide,General Table,General Table,Element. & Secondary Education,Total,,0.0,12
General Fund / Statewide,General Table,General Table,Element. & Secondary Education,FY 2027 Current Services,2027,0.0,12
General Fund / Statewide,General Table,General Table,Element. & Secondary Education,Policy Revisions_1,,0.0,12
General Fund / Statewide,General Table,General Table,Element. & Secondary Education,Total_1,,0.0,12
General Fund / Statewide,General Table,General Table,General GovernmentA,FY 2026 Current Services,2026,0.0,12
General Fund / Statewide,General Table,General Table,General GovernmentA,Policy Revisions,,0.0,12
General Fund / Statewide,General Table,General Table,General GovernmentA,Total,,0.0,12
General Fund / Statewide,General Table,General Table,General GovernmentA,FY 2027 Current Services,2027,0.0,12
General Fund / Statewide,General Table,General Table,General GovernmentA,Policy Revisions_1,,0.0,12
General Fund / Statewide,General Table,General Table,General GovernmentA,Total_1,,0.0,12
General Fund / Statewide,General Table,General Table,General GovernmentB,FY 2026 Current Services,2026,0.0,12
General Fund / Statewide,General Table,General Table,General GovernmentB,Policy Revisions,,0.0,12
General Fund / Statewide,General Table,General Table,General GovernmentB,Total,,0.0,12
General Fund / Statewide,General Table,General Table,General GovernmentB,FY 2027 Current Services,2027,0.0,12
General Fund / Statewide,General Table,General Table,General GovernmentB,Policy Revisions_1,,0.0,12
General Fund / Statewide,General Table,General Table,General GovernmentB,Total_1,,0.0,12
General Fund / Statewide,General Table,General Table,Health,FY 2026 Current Services,2026,0.0,12
General Fund / Statewide,General Table,General Table,Health,Policy Revisions,,0.0,12
General Fund / Statewide,General Table,General Table,Health,Total,,0.0,12
General Fund / Statewide,General Table,General Table,Health,FY 2027 Current Services,2027,0.0,12
General Fund / Statewide,General Table,General Table,Health,Policy Revisions_1,,0.0,12
General Fund / Statewide,General Table,General Table,Health,Total_1,,0.0,12
General Fund / Statewide,General Table,General Table,Higher Education,FY 2026 Current Services,2026,0.0,12
General Fund / Statewide,General Table,General Table,Higher Education,Policy Revisions,,0.0,12
General Fund / Statewide,General Table,General Table,Higher Education,Total,,0.0,12
General Fund / Statewide,General Table,General Table,Higher Education,FY 2027 Current Services,2027,0.0,12
General Fund / Statewide,General Table,General Table,Higher Education,Policy Revisions_1,,0.0,12
General Fund / Statewide,General Table,General Table,Higher Education,Total_1,,0.0,12
General Fund / Statewide,General Table,General Table,Human Services,FY 2026 Current Services,2026,0.0,12
General Fund / Statewide,General Table,General Table,Human Services,Policy Revisions,,0.0,12
General Fund / Statewide,General Table,General Table,Human Services,Total,,0.0,12
General Fund / Statewide,General Table,General Table,Human Services,FY 2027 Current Services,2027,0.0,12
General Fund / Statewide,General Table,General Table,Human Services,Policy Revisions_1,,0.0,12
General Fund / Statewide,General Table,General Table,Human Services,Total_1,,0.0,12
General Fund / Statewide,General Table,General Table,Judicial and Corrections,FY 2026 Current Services,2026,0.0,12
General Fund / Statewide,General Table,General Table,Judicial and Corrections,Policy Revisions,,0.0,12
General Fund / Statewide,General Table,General Table,Judicial and Corrections,Total,,0.0,12
General Fund / Statewide,General Table,General Table,Judicial and Corrections,FY 2027 Current Services,2027,0.0,12
General Fund / Statewide,General Table,General Table,Judicial and Corrections,Policy Revisions_1,,0.0,12
General Fund / Statewide,General Table,General Table,Judicial and Corrections,Total_1,,0.0,12
General Fund / Statewide,General Table,General Table,Legislative,FY 2026 Current Services,2026,0.0,12
General Fund / Statewide,General Table,General Table,Legislative,Policy Revisions,,0.0,12
General Fund / Statewide,General Table,General Table,Legislative,Total,,0.0,12
General Fund / Statewide,General Table,General Table,Legislative,FY 2027 Current Services,2027,0.0,12
General Fund / Statewide,General Table,General Table,Legislative,Policy Revisions_1,,0.0,12
General Fund / Statewide,General Table,General Table,Legislative,Total_1,,0.0,12
General Fund / Statewide,General Table,General Table,Regulation and Protection,FY 2026 Current Services,2026,0.0,12
General Fund / Statewide,General Table,General Table,Regulation and Protection,Policy Revisions,,0.0,12
General Fund / Statewide,General Table,General Table,Regulation and Protection,Total,,0.0,12
General Fund / Statewide,General Table,General Table,Regulation and Protection,FY 2027 Current Services,2027,0.0,12
General Fund / Statewide,General Table,General Table,Regulation and Protection,Policy Revisions_1,,0.0,12
General Fund / Statewide,General Table,General Table,Regulation and Protection,Total_1,,0.0,12
General Fund / Statewide,General Table,General Table,Transportation,FY 2026 Current Services,2026,0.0,12
General Fund / Statewide,General Table,General Table,Transportation,Policy Revisions,,0.0,12
General Fund / Statewide,General Table,General Table,Transportation,Total,,0.0,12
General Fund / Statewide,General Table,General Table,Transportation,FY 2027 Current Services,2027,0.0,12
General Fund / Statewide,General Table,General Table,Transportation,Policy Revisions_1,,0.0,12
General Fund / Statewide,General Table,General Table,Transportation,Total_1,,0.0,12
General Fund / Statewide,General Table,General Table,Veterans’ and Military Affairs,FY 2026 Current Services,2026,0.0,12
General Fund / Statewide,General Table,General Table,Veterans’ and Military Affairs,Policy Revisions,,0.0,12
General Fund / Statewide,General Table,General Table,Veterans’ and Military Affairs,Total,,0.0,12
General Fund / Statewide,General Table,General Table,Veterans’ and Military Affairs,FY 2027 Current Services,2027,0.0,12
General Fund / Statewide,General Table,General Table,Veterans’ and Military Affairs,Policy Revisions_1,,0.0,12
General Fund / Statewide,General Table,General Table,Veterans’ and Military Affairs,Total_1,,0.0,12
General Fund / Statewide,General Table,General Table,Lapses,FY 2026 Current Services,2026,0.0,12
General Fund / Statewide,General Table,General Table,Lapses,Policy Revisions,,0.0,12
General Fund / Statewide,General Table,General Table,Lapses,Total,,0.0,12
General Fund / Statewide,General Table,General Table,Lapses,FY 2027 Current Services,2027,0.0,12
General Fund / Statewide,General Table,General Table,Lapses,Policy Revisions_1,,0.0,12
General Fund / Statewide,General Table,General Table,Lapses,Total_1,,0.0,12
General Fund / Statewide,General Table,General Table,Non-Fixed Costs Subtotal,FY 2026 Current Services,2026,0.0,12
General Fund / Statewide,General Table,General Table,Non-Fixed Costs Subtotal,Policy Revisions,,0.0,12
General Fund / Statewide,General Table,General Table,Non-Fixed Costs Subtotal,Total,,0.0,12
General Fund / Statewide,General Table,General Table,Non-Fixed Costs Subtotal,FY 2027 Current Services,2027,0.0,12
General Fund / Statewide,General Table,General Table,Non-Fixed Costs Subtotal,Policy Revisions_1,,0.0,12
General Fund / Statewide,General Table,General Table,Non-Fixed Costs Subtotal,Total_1,,0.0,12
General Fund / Statewide,General Table,General Table,Fixed Costs,FY 2026 Current Services,2026,0.0,12
General Fund / Statewide,General Table,General Table,Fixed Costs,Policy Revisions,,0.0,12
General Fund / Statewide,General Table,General Table,Fixed Costs,Total,,0.0,12
General Fund / Statewide,General Table,General Table,Fixed Costs,FY 2027 Current Services,2027,0.0,12
General Fund / Statewide,General Table,General Table,Fixed Costs,Policy Revisions_1,,0.0,12
General Fund / Statewide,General Table,General Table,Fixed Costs,Total_1,,0.0,12
General Fund / Statewide,General Table,General Table,Fixed Costs Subtotal,FY 2026 Current Services,2026,0.0,12
General Fund / Statewide,General Table,General Table,Fixed Costs Subtotal,Policy Revisions,,0.0,12
General Fund / Statewide,General Table,General Table,Fixed Costs Subtotal,Total,,0.0,12
General Fund / Statewide,General Table,General Table,Fixed Costs Subtotal,FY 2027 Current Services,2027,0.0,12
General Fund / Statewide,General Table,General Table,Fixed Costs Subtotal,Policy Revisions_1,,0.0,12
General Fund / Statewide,General Table,General Table,Fixed Costs Subtotal,Total_1,,0.0,12
General Fund / Statewide,General Table,General Table,TOTAL,FY 2026 Current Services,2026,1275.1,12
General Fund / Statewide,General Table,General Table,TOTAL,Policy Revisions,,-89.1,12
General Fund / Statewide,General Table,General Table,TOTAL,Total,,1186.1,12
General Fund / Statewide,General Table,General Table,TOTAL,FY 2027 Current Services,2027,2135.1,12
General Fund / Statewide,General Table,General Table,TOTAL,Policy Revisions_1,,505.5,12
General Fund / Statewide,General Table,General Table,TOTAL,Total_1,,2640.7,12
General Fund / Statewide,General Table,General Table,General Table,ang ide,,14.0,13
General Fund / Statewide,General Table,General Table,General Table,ang ide,,15.0,13
General Fund / Statewide,General Table,General Table,General Table,ang ide,,210.0,13
General Fund / Statewide,General Table,General Table,Corporation Tax Changes,Transportation,,189.4,14
General Fund / Statewide,General Table,General Table,Corporation Tax Changes,FY 2026,2026,0.0,14
General Fund / Statewide,General Table,General Table,Corporation Tax Changes,FY 2027,2027,0.0,14
General Fund / Statewide,General Table,General Table,Corporation Tax Changes,FY 2028,2028,0.0,14
General Fund / Statewide,General Table,General Table,Corporation Tax Changes,FY 2029,2029,0.0,14
General Fund / Statewide,General Table,General Table,Corporation Tax Changes,FY 2030,2030,0.0,14
General Fund / Statewide,General Table,General Table,Rebase Hospital Tax,Transportation,,0.0,14
General Fund / Statewide,General Table,General Table,Rebase Hospital Tax,FY 2026,2026,0.0,14
General Fund / Statewide,General Table,General Table,Rebase Hospital Tax,FY 2027,2027,0.0,14
General Fund / Statewide,General Table,General Table,Rebase Hospital Tax,FY 2028,2028,0.0,14
General Fund / Statewide,General Table,General Table,Rebase Hospital Tax,FY 2029,2029,0.0,14
General Fund / Statewide,General Table,General Table,Rebase Hospital Tax,FY 2030,2030,0.0,14
General Fund / Statewide,General Table,General Table,Reflect Match on Hospital Supplemental Payments,Transportation,,0.0,14
General Fund / Statewide,General Table,General Table,Reflect Match on Hospital Supplemental Payments,FY 2026,2026,0.0,14
General Fund / Statewide,General Table,General Table,Reflect Match on Hospital Supplemental Payments,FY 2027,2027,0.0,14
General Fund / Statewide,General Table,General Table,Reflect Match on Hospital Supplemental Payments,FY 2028,2028,0.0,14
General Fund / Statewide,General Table,General Table,Reflect Match on Hospital Supplemental Payments,FY 2029,2029,0.0,14
General Fund / Statewide,General Table,General Table,Reflect Match on Hospital Supplemental Payments,FY 2030,2030,0.0,14
General Fund / Statewide,General Table,General Table,Adjust Volatility Cap Threshold,Transportation,,600.0,14
General Fund / Statewide,General Table,General Table,Adjust Volatility Cap Threshold,FY 2026,2026,0.0,14
General Fund / Statewide,General Table,General Table,Adjust Volatility Cap Threshold,FY 2027,2027,0.0,14
General Fund / Statewide,General Table,General Table,Adjust Volatility Cap Threshold,FY 2028,2028,0.0,14
General Fund / Statewide,General Table,General Table,Adjust Volatility Cap Threshold,FY 2029,2029,0.0,14
General Fund / Statewide,General Table,General Table,Adjust Volatility Cap Threshold,FY 2030,2030,0.0,14
General Fund / Statewide,General Table,General Table,Credit Revenue to FY 27,Transportation,,-244.0,14
General Fund / Statewide,General Table,General Table,Credit Revenue to FY 27,FY 2026,2026,0.0,14
General Fund / Statewide,General Table,General Table,Credit Revenue to FY 27,FY 2027,2027,0.0,14
General Fund / Statewide,General Table,General Table,Credit Revenue to FY 27,FY 2028,2028,0.0,14
General Fund / Statewide,General Table,General Table,Credit Revenue to FY 27,FY 2029,2029,0.0,14
General Fund / Statewide,General Table,General Table,Credit Revenue to FY 27,FY 2030,2030,0.0,14
General Fund / Statewide,General Table,General Table,All Other,Transportation,,17.1,14
General Fund / Statewide,General Table,General Table,All Other,FY 2026,2026,0.0,14
General Fund / Statewide,General Table,General Table,All Other,FY 2027,2027,0.0,14
General Fund / Statewide,General Table,General Table,All Other,FY 2028,2028,0.0,14
General Fund / Statewide,General Table,General Table,All Other,FY 2029,2029,0.0,14
General Fund / Statewide,General Table,General Table,All Other,FY 2030,2030,0.0,14
General Fund / Statewide,General Table,General Table,Major Policies TOTAL,Transportation,,0.0,14
General Fund / Statewide,General Table,General Table,Major Policies TOTAL,FY 2026,2026,562.5,14
General Fund / Statewide,General Table,General Table,Major Policies TOTAL,FY 2027,2027,1473.8,14
General Fund / Statewide,General Table,General Table,Major Policies TOTAL,FY 2028,2028,1401.1,14
General Fund / Statewide,General Table,General Table,Major Policies TOTAL,FY 2029,2029,1426.1,14
General Fund / Statewide,General Table,General Table,Major Policies TOTAL,FY 2030,2030,1465.4,14
General Fund / Statewide,General Table,General Table,General Table,io,,2.0,16
General Fund / Statewide,General Table,General Table,io bi n V llion . Capital in FY 26,Sect,,2.89,16
General Fund / Statewide,General Table,General Table,io bi n V llion . Capital in FY 27,Sect,,3.06,16
General Fund / Statewide,General Table,General Table,io m n V illion . Capital in the out ye ars (FY 28 to FY 32),Sect,,157.0,16
General Fund / Statewide,General Table,General Table,io bi n V llion . Capital in FY 26,Sect,,1.57,16
General Fund / Statewide,General Table,General Table,io bi n V llion . Capital in FY 27,Sect,,1.58,16
General Fund / Statewide,General Table,General Table,io m n V illion . Capital in FY 27,Sect,,500.0,16
General Fund / Statewide,General Table,General Table,General Table,Part,,185.0,16
General Fund / Statewide,General Table,General Table,General Table,6 and $23,,27.0,16
General Fund / Statewide,General Table,General Table,General Table,n of,,175.0,16
General Fund / Statewide,General Table,General Table,General Table,f FY,,45.0,16
General Fund / Statewide,General Table,General Table,Unspecified,n V,,27.0,16
General Fund / Statewide,General Table,General Table,Unspecified,FY,,15.0,16
General Fund / Statewide,General Table,General Table,Baseline Balance,FY,,-292.7,17
General Fund / Statewide,General Table,General Table,Baseline Balance,FY 2028,2028,0.0,17
General Fund / Statewide,General Table,General Table,Baseline Balance,millioni,,3.1,17
General Fund / Statewide,General Table,General Table,Baseline Balance,FY 2029,2029,0.0,17
General Fund / Statewide,General Table,General Table,Baseline Balance,FY 2030,2030,0.0,17
General Fund / Statewide,General Table,General Table,Revenue Adjustments Total,FY,,0.0,17
General Fund / Statewide,General Table,General Table,Revenue Adjustments Total,FY 2028,2028,1401.1,17
General Fund / Statewide,General Table,General Table,Revenue Adjustments Total,millioni,,0.0,17
General Fund / Statewide,General Table,General Table,Revenue Adjustments Total,FY 2029,2029,1426.1,17
General Fund / Statewide,General Table,General Table,Revenue Adjustments Total,FY 2030,2030,1465.4,17
General Fund / Statewide,General Table,General Table,Adjust Volatility Cap Threshold,FY,,662.3,17
General Fund / Statewide,General Table,General Table,Adjust Volatility Cap Threshold,FY 2028,2028,0.0,17
General Fund / Statewide,General Table,General Table,Adjust Volatility Cap Threshold,millioni,,693.6,17
General Fund / Statewide,General Table,General Table,Adjust Volatility Cap Threshold,FY 2029,2029,0.0,17
General Fund / Statewide,General Table,General Table,Adjust Volatility Cap Threshold,FY 2030,2030,0.0,17
General Fund / Statewide,General Table,General Table,Adjust the Hospital Tax Rebase,FY,,400.0,17
General Fund / Statewide,General Table,General Table,Adjust the Hospital Tax Rebase,FY 2028,2028,0.0,17
General Fund / Statewide,General Table,General Table,Adjust the Hospital Tax Rebase,millioni,,425.0,17
General Fund / Statewide,General Table,General Table,Adjust the Hospital Tax Rebase,FY 2029,2029,0.0,17
General Fund / Statewide,General Table,General Table,Adjust the Hospital Tax Rebase,FY 2030,2030,0.0,17
General Fund / Statewide,General Table,General Table,Match on Hospital Supplemental Payments,FY,,110.6,17
General Fund / Statewide,General Table,General Table,Match on Hospital Supplemental Payments,FY 2028,2028,0.0,17
General Fund / Statewide,General Table,General Table,Match on Hospital Supplemental Payments,millioni,,127.3,17
General Fund / Statewide,General Table,General Table,Match on Hospital Supplemental Payments,FY 2029,2029,0.0,17
General Fund / Statewide,General Table,General Table,Match on Hospital Supplemental Payments,FY 2030,2030,0.0,17
General Fund / Statewide,General Table,General Table,Corporation Tax Changes,FY,,171.5,17
General Fund / Statewide,General Table,General Table,Corporation Tax Changes,FY 2028,2028,0.0,17
General Fund / Statewide,General Table,General Table,Corporation Tax Changes,millioni,,123.5,17
General Fund / Statewide,General Table,General Table,Corporation Tax Changes,FY 2029,2029,0.0,17
General Fund / Statewide,General Table,General Table,Corporation Tax Changes,FY 2030,2030,0.0,17
General Fund / Statewide,General Table,General Table,All Other,FY,,56.7,17
General Fund / Statewide,General Table,General Table,All Other,FY 2028,2028,0.0,17
General Fund / Statewide,General Table,General Table,All Other,millioni,,56.7,17
General Fund / Statewide,General Table,General Table,All Other,FY 2029,2029,0.0,17
General Fund / Statewide,General Table,General Table,All Other,FY 2030,2030,0.0,17
General Fund / Statewide,General Table,General Table,Appropriations Adjustments Total,FY,,0.0,17
General Fund / Statewide,General Table,General Table,Appropriations Adjustments Total,FY 2028,2028,681.0,17
General Fund / Statewide,General Table,General Table,Appropriations Adjustments Total,millioni,,0.0,17
General Fund / Statewide,General Table,General Table,Appropriations Adjustments Total,FY 2029,2029,681.0,17
General Fund / Statewide,General Table,General Table,Appropriations Adjustments Total,FY 2030,2030,681.0,17
General Fund / Statewide,General Table,General Table,Rollout FY 27 Budget Policies,FY,,585.0,17
General Fund / Statewide,General Table,General Table,Rollout FY 27 Budget Policies,FY 2028,2028,0.0,17
General Fund / Statewide,General Table,General Table,Rollout FY 27 Budget Policies,millioni,,585.0,17
General Fund / Statewide,General Table,General Table,Rollout FY 27 Budget Policies,FY 2029,2029,0.0,17
General Fund / Statewide,General Table,General Table,Rollout FY 27 Budget Policies,FY 2030,2030,0.0,17
General Fund / Statewide,General Table,General Table,Debt Service,FY,,60.0,17
General Fund / Statewide,General Table,General Table,Debt Service,FY 2028,2028,0.0,17
General Fund / Statewide,General Table,General Table,Debt Service,millioni,,60.0,17
General Fund / Statewide,General Table,General Table,Debt Service,FY 2029,2029,0.0,17
General Fund / Statewide,General Table,General Table,Debt Service,FY 2030,2030,0.0,17
General Fund / Statewide,General Table,General Table,Phaseout of Carryforward (RSA),FY,,36.0,17
General Fund / Statewide,General Table,General Table,Phaseout of Carryforward (RSA),FY 2028,2028,0.0,17
General Fund / Statewide,General Table,General Table,Phaseout of Carryforward (RSA),millioni,,36.0,17
General Fund / Statewide,General Table,General Table,Phaseout of Carryforward (RSA),FY 2029,2029,0.0,17
General Fund / Statewide,General Table,General Table,Phaseout of Carryforward (RSA),FY 2030,2030,0.0,17
General Fund / Statewide,General Table,General Table,Budget Adjustments Total,FY,,720.1,17
General Fund / Statewide,General Table,General Table,Budget Adjustments Total,FY 2028,2028,0.0,17
General Fund / Statewide,General Table,General Table,Budget Adjustments Total,millioni,,745.1,17
General Fund / Statewide,General Table,General Table,Budget Adjustments Total,FY 2029,2029,0.0,17
General Fund / Statewide,General Table,General Table,Budget Adjustments Total,FY 2030,2030,0.0,17
General Fund / Statewide,General Table,General Table,Budget Balance,FY,,0.0,17
General Fund / Statewide,General Table,General Table,Budget Balance,FY 2028,2028,427.4,17
General Fund / Statewide,General Table,General Table,Budget Balance,millioni,,0.0,17
General Fund / Statewide,General Table,General Table,Budget Balance,FY 2029,2029,748.2,17
General Fund / Statewide,General Table,General Table,Budget Balance,FY 2030,2030,1221.9,17
General Fund / Statewide,General Table,General Table,Subcommittee Appropriations FY 25 FY 26 FY 27 FY 27,26 and $145,,0.0,19
General Fund / Statewide,General Table,General Table,Subcommittee Appropriations FY 25 FY 26 FY 27 FY 27,n FY 2027.,2027,0.0,19
General Fund / Statewide,General Table,General Table,Subcommittee Appropriations FY 25 FY 26 FY 27 FY 27,Change from FY 2025,2025,26.0,19
General Fund / Statewide,General Table,General Table,General GovernmentB,26 and $145,,8515.2,19
General Fund / Statewide,General Table,General Table,General GovernmentB,n FY 2027.,2027,8349.3,19
General Fund / Statewide,General Table,General Table,General GovernmentB,Change from FY 2025,2025,0.0,19
General Fund / Statewide,General Table,General Table,Element. & Secondary Education,26 and $145,,5548.0,19
