source_document,page,subcommittee,agency,fund,account,row_type,actual_fy23,actual_fy24,appropriation_fy25,governor_fy26,governor_fy27,legislative_fy26,legislative_fy27
2025BB-20250827_FY26_FY27.pdf,32,General Government,Governor's Office,Fund,General Fund,account,31.0,28.0,28.0,28.0,28.0,28.0,28.0
2025BB-20250827_FY26_FY27.pdf,32,General Government,Governor's Office,Fund,Personal Services,account,2532390.0,2606293.0,3838460.0,3975286.0,3975286.0,3983704.0,3983704.0
2025BB-20250827_FY26_FY27.pdf,32,General Government,Governor's Office,Fund,Other Expenses,account,87982.0,455545.0,635401.0,885401.0,635401.0,635401.0,635401.0
2025BB-20250827_FY26_FY27.pdf,32,General Government,Governor's Office,Fund,Office of Workforce Strategy,account,494268.0,,,,,,
2025BB-20250827_FY26_FY27.pdf,32,General Government,Governor's Office,Fund,Conference,account,,,70672.0,,,,
2025BB-20250827_FY26_FY27.pdf,32,General Government,Governor's Office,Fund,National Governors' Association,account,101270.0,101270.0,101270.0,115735.0,121522.0,115735.0,121522.0
2025BB-20250827_FY26_FY27.pdf,32,General Government,Governor's Office,Fund,Agency Total - General Fund,account,3215910.0,3163108.0,4645803.0,4976422.0,4732209.0,4734840.0,4740627.0
2025BB-20250827_FY26_FY27.pdf,34,General Government,Secretary Of The State,Fund,General Fund,account,87.0,88.0,88.0,88.0,88.0,96.0,101.0
2025BB-20250827_FY26_FY27.pdf,34,General Government,Secretary Of The State,Fund,Personal Services,account,3169850.0,3141961.0,4122878.0,3965359.0,3965359.0,5011011.0,5402637.0
2025BB-20250827_FY26_FY27.pdf,34,General Government,Secretary Of The State,Fund,Other Expenses,account,3477667.0,2559828.0,2507561.0,2407561.0,2407561.0,3144562.0,3517936.0
2025BB-20250827_FY26_FY27.pdf,34,General Government,Secretary Of The State,Fund,Commercial Recording Division,account,5447614.0,5100563.0,5254148.0,5419159.0,5419159.0,5419159.0,5419159.0
2025BB-20250827_FY26_FY27.pdf,34,General Government,Secretary Of The State,Fund,Early Voting,account,,3080174.0,1320000.0,570000.0,570000.0,3320000.0,1320000.0
2025BB-20250827_FY26_FY27.pdf,34,General Government,Secretary Of The State,Fund,Bridgeport Election Monitor,account,,,,,,150000.0,150000.0
2025BB-20250827_FY26_FY27.pdf,34,General Government,Secretary Of The State,Fund,Agency Total - General Fund,account,12095131.0,13882526.0,13204587.0,12362079.0,12362079.0,17044732.0,15809732.0
2025BB-20250827_FY26_FY27.pdf,38,General Government,Lieutenant Governor's Office,Fund,General Fund,account,7.0,7.0,7.0,7.0,7.0,7.0,7.0
2025BB-20250827_FY26_FY27.pdf,38,General Government,Lieutenant Governor's Office,Fund,Personal Services,account,727894.0,809474.0,718522.0,858562.0,858562.0,865598.0,865598.0
2025BB-20250827_FY26_FY27.pdf,38,General Government,Lieutenant Governor's Office,Fund,Other Expenses,account,25454.0,28468.0,46323.0,46323.0,46323.0,46323.0,46323.0
2025BB-20250827_FY26_FY27.pdf,38,General Government,Lieutenant Governor's Office,Fund,Agency Total - General Fund,account,753348.0,837942.0,764845.0,904885.0,904885.0,911921.0,911921.0
2025BB-20250827_FY26_FY27.pdf,40,General Government,State Elections Enforcement Commission,Fund,General Fund,account,35.0,35.0,35.0,35.0,35.0,35.0,35.0
2025BB-20250827_FY26_FY27.pdf,40,General Government,State Elections Enforcement Commission,Fund,Commission,account,3452687.0,3193780.0,4233756.0,3925912.0,3925912.0,4257796.0,4255296.0
2025BB-20250827_FY26_FY27.pdf,40,General Government,State Elections Enforcement Commission,Fund,Agency Total - General Fund,account,3452687.0,3193780.0,4233756.0,3925912.0,3925912.0,4257796.0,4255296.0
2025BB-20250827_FY26_FY27.pdf,42,General Government,Office Of State Ethics,Fund,General Fund,account,16.0,16.0,16.0,16.0,16.0,16.0,16.0
2025BB-20250827_FY26_FY27.pdf,42,General Government,Office Of State Ethics,Fund,Office of State Ethics,account,1816433.0,1903315.0,1964230.0,2069345.0,2059779.0,2069345.0,2059779.0
2025BB-20250827_FY26_FY27.pdf,42,General Government,Office Of State Ethics,Fund,Agency Total - General Fund,account,1816433.0,1903315.0,1964230.0,2069345.0,2059779.0,2069345.0,2059779.0
2025BB-20250827_FY26_FY27.pdf,44,General Government,Freedom Of Information Commission,Fund,General Fund,account,16.0,18.0,18.0,18.0,18.0,18.0,18.0
2025BB-20250827_FY26_FY27.pdf,44,General Government,Freedom Of Information Commission,Fund,Commission,account,1983206.0,1761199.0,2211809.0,2283813.0,2283813.0,2283813.0,2283813.0
2025BB-20250827_FY26_FY27.pdf,44,General Government,Freedom Of Information Commission,Fund,Agency Total - General Fund,account,1983206.0,1761199.0,2211809.0,2283813.0,2283813.0,2283813.0,2283813.0
2025BB-20250827_FY26_FY27.pdf,45,General Government,,Fund,General Fund,account,27.0,28.0,28.0,28.0,28.0,36.0,36.0
2025BB-20250827_FY26_FY27.pdf,45,General Government,,Fund,Personal Services,account,,1102.0,400000.0,,,,
2025BB-20250827_FY26_FY27.pdf,45,General Government,,Fund,Other Expenses,account,3302.0,3904.0,25098.0,25098.0,25098.0,25098.0,25098.0
2025BB-20250827_FY26_FY27.pdf,45,General Government,,Fund,Child Fatality Review Panel,account,145908.0,119581.0,133461.0,139183.0,139183.0,139183.0,139183.0
2025BB-20250827_FY26_FY27.pdf,45,General Government,,Fund,Contracting Standards Board,account,525948.0,682975.0,737052.0,766902.0,766902.0,858234.0,859334.0
2025BB-20250827_FY26_FY27.pdf,45,General Government,,Fund,Judicial Review Council,account,143028.0,131396.0,153663.0,191511.0,191511.0,191511.0,191511.0
2025BB-20250827_FY26_FY27.pdf,45,General Government,,Fund,Judicial Selection Commission,account,106316.0,89077.0,113989.0,117678.0,117678.0,117678.0,117678.0
2025BB-20250827_FY26_FY27.pdf,45,General Government,,Fund,Office of the Child Advocate,account,834059.0,766525.0,824852.0,858793.0,858793.0,1032892.0,1032892.0
2025BB-20250827_FY26_FY27.pdf,45,General Government,,Fund,Office of the Victim Advocate,account,491777.0,466650.0,497908.0,519674.0,519674.0,519674.0,519674.0
2025BB-20250827_FY26_FY27.pdf,45,General Government,,Fund,Examiners,account,130170.0,123843.0,143138.0,148193.0,148193.0,148193.0,148193.0
2025BB-20250827_FY26_FY27.pdf,45,General Government,,Fund,Office of the Correction Ombuds,account,,,,400058.0,400058.0,790799.0,763692.0
2025BB-20250827_FY26_FY27.pdf,45,General Government,,Fund,Ombudsperson,account,,,,,,180000.0,180000.0
2025BB-20250827_FY26_FY27.pdf,45,General Government,,Fund,Agency Total - General Fund,account,2380508.0,2385053.0,3029161.0,3167090.0,3167090.0,4003262.0,3977255.0
2025BB-20250827_FY26_FY27.pdf,52,General Government,,Fund,General Fund,account,45.0,45.0,45.0,45.0,45.0,45.0,45.0
2025BB-20250827_FY26_FY27.pdf,52,General Government,,Fund,Special Transportation Fund,account,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025BB-20250827_FY26_FY27.pdf,52,General Government,,Fund,Personal Services,account,3476807.0,3152797.0,3548309.0,3536020.0,3536020.0,3543056.0,3543056.0
2025BB-20250827_FY26_FY27.pdf,52,General Government,,Fund,Other Expenses,account,123225.0,272368.0,359854.0,359854.0,359854.0,359854.0,359854.0
2025BB-20250827_FY26_FY27.pdf,52,General Government,,Fund,Agency Total - General Fund,account,3600032.0,3425165.0,3908163.0,3895874.0,3895874.0,3902910.0,3902910.0
2025BB-20250827_FY26_FY27.pdf,56,General Government,,Fund,General Fund,account,283.0,284.0,284.0,291.0,291.0,291.0,291.0
2025BB-20250827_FY26_FY27.pdf,56,General Government,,Fund,Personal Services,account,27194864.0,26704224.0,28513099.0,30471027.0,30471027.0,30478063.0,30478063.0
2025BB-20250827_FY26_FY27.pdf,56,General Government,,Fund,Other Expenses,account,6807542.0,17607274.0,7181334.0,12767000.0,12767000.0,18417000.0,18417000.0
2025BB-20250827_FY26_FY27.pdf,56,General Government,,Fund,CT Premium Pay Account,account,,320265.0,,,,,
2025BB-20250827_FY26_FY27.pdf,56,General Government,,Fund,Agency Total - General Fund,account,34002406.0,44631763.0,35694433.0,43238027.0,43238027.0,48895063.0,48895063.0
2025BB-20250827_FY26_FY27.pdf,59,General Government,,,Adjudicated Claims,account,50576501.0,56999044.0,,,,,
2025BB-20250827_FY26_FY27.pdf,59,General Government,,,Accruals,account,-230546220.0,48227476.0,38998570.0,31931561.0,33347395.0,,65278956.0
2025BB-20250827_FY26_FY27.pdf,59,General Government,,,Agency Total - General Fund,account,-179969719.0,105226520.0,38998570.0,31931561.0,33347395.0,,65278956.0
2025BB-20250827_FY26_FY27.pdf,59,General Government,,,Accruals,account,-35813900.0,4060804.0,3800359.0,2610951.0,2726720.0,,5337671.0
2025BB-20250827_FY26_FY27.pdf,59,General Government,,,Transportation Fund,account,-35813900.0,4060804.0,3800359.0,2610951.0,2726720.0,,5337671.0
2025BB-20250827_FY26_FY27.pdf,59,General Government,,,Accruals,account,-1898319.0,109509.0,192800.0,127767.0,133432.0,,261199.0
2025BB-20250827_FY26_FY27.pdf,59,General Government,,,Agency Total - Banking Fund,account,-1898319.0,109509.0,192800.0,127767.0,133432.0,,261199.0
2025BB-20250827_FY26_FY27.pdf,59,General Government,,,Accruals,account,-3777787.0,-795749.0,352916.0,191273.0,199753.0,,391026.0
2025BB-20250827_FY26_FY27.pdf,59,General Government,,,Agency Total - Insurance Fund,account,-3777787.0,-795749.0,352916.0,191273.0,199753.0,,391026.0
2025BB-20250827_FY26_FY27.pdf,59,General Government,,,Accruals,account,-1778181.0,85803.0,193293.0,138975.0,145137.0,,284112.0
2025BB-20250827_FY26_FY27.pdf,59,General Government,,,Control Fund,account,-1778181.0,85803.0,193293.0,138975.0,145137.0,,284112.0
2025BB-20250827_FY26_FY27.pdf,59,General Government,,,Accruals,account,-986237.0,15967.0,107617.0,72954.0,76188.0,,149142.0
2025BB-20250827_FY26_FY27.pdf,59,General Government,,,Compensation Fund,account,-986237.0,15967.0,107617.0,72954.0,76188.0,,149142.0
2025BB-20250827_FY26_FY27.pdf,59,General Government,,,Accruals,account,15685.0,149166.0,,,,,
2025BB-20250827_FY26_FY27.pdf,59,General Government,,,Injuries Compensation Fund,account,15685.0,149166.0,,,,,
2025BB-20250827_FY26_FY27.pdf,59,General Government,,,Accruals,account,-10000.0,,,,,,
2025BB-20250827_FY26_FY27.pdf,59,General Government,,,Agency Total - Tourism Fund,account,-10000.0,,,,,,
